alpha,cl_corrected
-5.000000,-0.407146
-4.850000,-0.374782
-4.700000,-0.342419
-4.550000,-0.309684
-4.400000,-0.277134
-4.250000,-0.244771
-4.100000,-0.212408
-3.950000,-0.179858
-3.800000,-0.147123
-3.650000,-0.114574
-3.500000,-0.082210
-3.350000,-0.049475
-3.200000,-0.016926
-3.050000,0.015810
-2.900000,0.048173
-2.750000,0.080908
-2.600000,0.113458
-2.450000,0.146193
-2.300000,0.178556
-2.150000,0.211292
-2.000000,0.244027
-1.850000,0.276576
-1.700000,0.309126
-1.550000,0.341675
-1.400000,0.374410
-1.250000,0.407146
-1.100000,0.439695
-0.950000,0.472058
-0.800000,0.504608
-0.500000,0.569520
-0.350000,0.602070
-0.200000,0.634433
-0.050000,0.667168
0.100000,0.698974
0.250000,0.730779
0.400000,0.762957
0.550000,0.794762
0.700000,0.826567
0.850000,0.857443
1.000000,0.887574
1.150000,0.914357
1.300000,0.939839
1.450000,0.968482
1.750000,1.021491
1.900000,1.049949
2.050000,1.079894
2.200000,1.109095
2.350000,1.139227
2.500000,1.168800
2.650000,1.199676
2.800000,1.231109
2.950000,1.262542
3.100000,1.294162
3.250000,1.325781
3.400000,1.357400
3.550000,1.388834
3.700000,1.419895
3.850000,1.450957
4.000000,1.482204
4.150000,1.513265
4.450000,1.575016
4.600000,1.606077
4.750000,1.636953
4.900000,1.667828
5.050000,1.698517
5.200000,1.729207
5.350000,1.759896
5.500000,1.790400
5.650000,1.820903
5.800000,1.851034
5.950000,1.881352
6.100000,1.911111
6.250000,1.940871
6.400000,1.969886
6.550000,1.999645
6.700000,2.029777
6.850000,2.059722
7.000000,2.089854
7.150000,2.119985
7.300000,2.149558
7.450000,2.178946
7.600000,2.208333
7.750000,2.237349
7.900000,2.266736
8.050000,2.295751
8.200000,2.324581
8.350000,2.353038
8.500000,2.381310
8.650000,2.409209
8.800000,2.436551
8.950000,2.462962
9.100000,2.488071
9.250000,2.514297
9.400000,2.541638
9.550000,2.569352
9.700000,2.595391
10.000000,2.646726
10.150000,2.671464
10.450000,2.721683
10.600000,2.746978
10.750000,2.770786
10.900000,2.794593
11.050000,2.818401
11.200000,2.841278
11.350000,2.863412
11.500000,2.884615
11.650000,2.904145
11.800000,2.920327
11.950000,2.935206
12.100000,2.948412
12.250000,2.961804
12.400000,2.973522
12.550000,2.986169
12.700000,3.000119
12.850000,3.012581
13.000000,3.024485
13.150000,3.036202
13.300000,3.046060
13.450000,3.056476
13.600000,3.065776
13.750000,3.073216
13.900000,3.080469
14.050000,3.086607
14.200000,3.091815
14.350000,3.095535
14.500000,3.097767
14.650000,3.099627
14.800000,3.099441
14.950000,3.097767
15.100000,3.094419
15.250000,3.089955
15.400000,3.083445
15.550000,3.076750
15.700000,3.067822
15.850000,3.054430
16.000000,3.044200
16.150000,3.030064
16.300000,3.013139
16.450000,2.996399
16.600000,2.979287
16.750000,2.958642
16.900000,2.934648
17.050000,2.911213
17.200000,2.888521
17.350000,2.866388
17.500000,2.841650
17.650000,2.812263
17.800000,2.786781
17.950000,2.757952
18.100000,2.727449
18.250000,2.695829
18.400000,2.661420
18.550000,2.619385
18.700000,2.566562
