alpha,ld_corrected
-5.000000,-64.421793
-4.850000,-59.773905
-4.700000,-54.962929
-4.550000,-50.110633
-4.400000,-45.431864
-4.250000,-40.727293
-4.100000,-35.758870
-3.950000,-30.588154
-3.800000,-25.278868
-3.650000,-19.856789
-3.500000,-14.347353
-3.350000,-8.710386
-3.200000,-3.001003
-3.050000,2.818125
-2.900000,8.633158
-2.750000,14.630806
-2.600000,20.703959
-2.450000,26.873719
-2.300000,33.004875
-2.150000,39.200688
-2.000000,45.527433
-1.850000,51.890503
-1.700000,58.435864
-1.550000,64.833977
-1.400000,71.588986
-1.250000,78.448118
-1.100000,86.214719
-0.950000,94.223236
-0.800000,104.257800
-0.500000,126.560096
-0.350000,141.663475
-0.200000,157.037899
-0.050000,171.508599
0.100000,180.613386
0.250000,189.321025
0.400000,197.657125
0.550000,204.835530
0.700000,210.322445
0.850000,213.294175
1.000000,213.359128
1.150000,204.097640
1.300000,192.196096
1.450000,188.787978
1.750000,174.018952
1.900000,171.560241
2.050000,171.411756
2.200000,170.367968
2.350000,170.798630
2.500000,170.379046
2.650000,172.119890
2.800000,174.625389
2.950000,177.074664
3.100000,179.744682
3.250000,182.614472
3.400000,185.437217
3.550000,187.934207
3.700000,189.572117
3.850000,191.419067
4.000000,193.499203
4.150000,195.260034
4.450000,197.866333
4.600000,199.512718
4.750000,200.853098
4.900000,202.160985
5.050000,203.415269
5.200000,204.397976
5.350000,205.355455
5.500000,206.267239
5.650000,206.920797
5.800000,207.282688
5.950000,207.884175
6.100000,207.729476
6.250000,207.579741
6.400000,206.270784
6.550000,206.361753
6.700000,206.908947
6.850000,207.424186
7.000000,207.945627
7.150000,208.659935
7.300000,208.694984
7.450000,208.312212
7.600000,208.136960
7.750000,207.738956
7.900000,207.766816
8.050000,207.384947
8.200000,206.997398
8.350000,206.225960
8.500000,205.462436
8.650000,204.343432
8.800000,203.045876
8.950000,201.058120
9.100000,198.094862
9.250000,196.429448
9.400000,195.962866
9.550000,195.834742
9.700000,194.849195
10.000000,193.757411
10.150000,193.584329
10.450000,190.594028
10.600000,188.795753
10.750000,186.208718
10.900000,183.733941
11.050000,181.481053
11.200000,179.034549
11.350000,176.427100
11.500000,173.667394
11.650000,170.731629
11.800000,167.738465
11.950000,164.714163
12.100000,161.203505
12.250000,157.878669
12.400000,153.908986
12.550000,150.436743
12.700000,147.571031
12.850000,144.211623
13.000000,140.804682
13.150000,137.322584
13.300000,133.599128
13.450000,130.062805
13.600000,126.371629
13.750000,122.390107
13.900000,118.570802
14.050000,114.658518
14.200000,110.738367
14.350000,106.742590
14.500000,102.643044
14.650000,98.745685
14.800000,94.697252
14.950000,90.630985
15.100000,86.605630
15.250000,82.619124
15.400000,78.639260
15.550000,74.896531
15.700000,71.162646
15.850000,67.174620
16.000000,63.792962
16.150000,60.263812
16.300000,56.733926
16.450000,53.459396
16.600000,50.376860
16.750000,47.255101
16.900000,44.149968
17.050000,41.305517
17.200000,38.709747
17.350000,36.329376
17.500000,33.995098
17.650000,31.605562
17.800000,29.567972
17.950000,27.546464
18.100000,25.619468
18.250000,23.814746
18.400000,22.075481
18.550000,20.280155
18.700000,18.406210
