alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.218900,0.006320,-0.080900,-34.636076,5000000.000000,7.000000,-0.407146,0.006320,0.006320,-64.421793,0.850000
-4.850000,-0.201500,0.006270,-0.081000,-32.137161,5000000.000000,7.000000,-0.374782,0.006270,0.006270,-59.773905,0.850000
-4.700000,-0.184100,0.006230,-0.081000,-29.550562,5000000.000000,7.000000,-0.342419,0.006230,0.006230,-54.962929,0.850000
-4.550000,-0.166500,0.006180,-0.081100,-26.941748,5000000.000000,7.000000,-0.309684,0.006180,0.006180,-50.110633,0.850000
-4.400000,-0.149000,0.006100,-0.081300,-24.426230,5000000.000000,7.000000,-0.277134,0.006100,0.006100,-45.431864,0.850000
-4.250000,-0.131600,0.006010,-0.081300,-21.896839,5000000.000000,7.000000,-0.244771,0.006010,0.006010,-40.727293,0.850000
-4.100000,-0.114200,0.005940,-0.081400,-19.225589,5000000.000000,7.000000,-0.212408,0.005940,0.005940,-35.758870,0.850000
-3.950000,-0.096700,0.005880,-0.081600,-16.445578,5000000.000000,7.000000,-0.179858,0.005880,0.005880,-30.588154,0.850000
-3.800000,-0.079100,0.005820,-0.081700,-13.591065,5000000.000000,7.000000,-0.147123,0.005820,0.005820,-25.278868,0.850000
-3.650000,-0.061600,0.005770,-0.081800,-10.675910,5000000.000000,7.000000,-0.114574,0.005770,0.005770,-19.856789,0.850000
-3.500000,-0.044200,0.005730,-0.081900,-7.713787,5000000.000000,7.000000,-0.082210,0.005730,0.005730,-14.347353,0.850000
-3.350000,-0.026600,0.005680,-0.082000,-4.683099,5000000.000000,7.000000,-0.049475,0.005680,0.005680,-8.710386,0.850000
-3.200000,-0.009100,0.005640,-0.082200,-1.613475,5000000.000000,7.000000,-0.016926,0.005640,0.005640,-3.001003,0.850000
-3.050000,0.008500,0.005610,-0.082300,1.515152,5000000.000000,7.000000,0.015810,0.005610,0.005610,2.818125,0.850000
-2.900000,0.025900,0.005580,-0.082400,4.641577,5000000.000000,7.000000,0.048173,0.005580,0.005580,8.633158,0.850000
-2.750000,0.043500,0.005530,-0.082600,7.866184,5000000.000000,7.000000,0.080908,0.005530,0.005530,14.630806,0.850000
-2.600000,0.061000,0.005480,-0.082700,11.131387,5000000.000000,7.000000,0.113458,0.005480,0.005480,20.703959,0.850000
-2.450000,0.078600,0.005440,-0.082800,14.448529,5000000.000000,7.000000,0.146193,0.005440,0.005440,26.873719,0.850000
-2.300000,0.096000,0.005410,-0.083000,17.744917,5000000.000000,7.000000,0.178556,0.005410,0.005410,33.004875,0.850000
-2.150000,0.113600,0.005390,-0.083100,21.076067,5000000.000000,7.000000,0.211292,0.005390,0.005390,39.200688,0.850000
-2.000000,0.131200,0.005360,-0.083300,24.477612,5000000.000000,7.000000,0.244027,0.005360,0.005360,45.527433,0.850000
-1.850000,0.148700,0.005330,-0.083400,27.898687,5000000.000000,7.000000,0.276576,0.005330,0.005330,51.890503,0.850000
-1.700000,0.166200,0.005290,-0.083600,31.417769,5000000.000000,7.000000,0.309126,0.005290,0.005290,58.435864,0.850000
