alpha,cl_corrected
-5.000000,-0.325148
-4.850000,-0.299373
-4.700000,-0.273598
-4.550000,-0.247972
-4.400000,-0.222197
-4.250000,-0.196274
-4.100000,-0.170499
-3.950000,-0.144872
-3.800000,-0.118949
-3.650000,-0.093026
-3.500000,-0.067103
-3.350000,-0.041329
-3.200000,-0.015554
-3.050000,0.010517
-2.900000,0.036440
-2.750000,0.062215
-2.600000,0.087990
-2.450000,0.114061
-2.300000,0.139984
-2.150000,0.165907
-2.000000,0.191682
-1.850000,0.217753
-1.700000,0.243676
-1.550000,0.269599
-1.400000,0.295374
-1.250000,0.321297
-1.100000,0.347368
-0.950000,0.373291
-0.800000,0.399214
-0.650000,0.424988
-0.500000,0.451060
-0.350000,0.476834
-0.200000,0.502461
-0.050000,0.528384
0.100000,0.554011
0.250000,0.579489
0.400000,0.604820
0.550000,0.630446
0.700000,0.655629
0.850000,0.680663
1.000000,0.705549
1.150000,0.729398
1.300000,0.750136
1.450000,0.769542
1.600000,0.791465
1.750000,0.812648
1.900000,0.833238
2.050000,0.855013
2.200000,0.878418
2.350000,0.902119
2.500000,0.925672
2.650000,0.949373
2.800000,0.974407
2.950000,0.999293
3.100000,1.024179
3.250000,1.049213
3.400000,1.074248
3.700000,1.124020
3.850000,1.148461
4.000000,1.173199
4.150000,1.197937
4.300000,1.222379
4.450000,1.246672
4.600000,1.271114
4.750000,1.295704
4.900000,1.320145
5.050000,1.344439
5.200000,1.368732
5.350000,1.392878
5.500000,1.417023
5.650000,1.441020
5.800000,1.464870
5.950000,1.488867
6.100000,1.512420
6.250000,1.535973
6.400000,1.559229
6.550000,1.582338
6.700000,1.604557
6.850000,1.628110
7.000000,1.651367
7.150000,1.675216
7.300000,1.698621
7.450000,1.721433
7.600000,1.744393
7.750000,1.767057
7.900000,1.789573
8.050000,1.812089
8.200000,1.834605
8.350000,1.856825
8.500000,1.879044
8.650000,1.900820
8.800000,1.922299
8.950000,1.943185
9.100000,1.963627
9.250000,1.982736
9.400000,2.001845
9.550000,2.021991
9.700000,2.041100
9.850000,2.057543
10.150000,2.099316
10.300000,2.119461
10.450000,2.139755
10.600000,2.159309
10.750000,2.178270
10.900000,2.196342
11.050000,2.213377
11.200000,2.229819
11.350000,2.244188
11.500000,2.257223
11.650000,2.269666
11.800000,2.281665
11.950000,2.293367
12.100000,2.304477
12.250000,2.315143
12.400000,2.324771
12.550000,2.334104
12.700000,2.342695
12.850000,2.350546
13.000000,2.358545
13.150000,2.366544
13.300000,2.373210
13.450000,2.380469
13.600000,2.386098
13.750000,2.390393
13.900000,2.394097
14.050000,2.397800
14.200000,2.399726
14.350000,2.400318
14.500000,2.400170
14.650000,2.398244
14.800000,2.395726
14.950000,2.391875
15.100000,2.386098
15.250000,2.378987
15.400000,2.370692
15.550000,2.361656
15.700000,2.351583
15.850000,2.337066
16.000000,2.326253
16.150000,2.312180
16.300000,2.295293
16.450000,2.279443
16.600000,2.261964
16.750000,2.243447
16.900000,2.223598
17.050000,2.201526
17.200000,2.181380
17.350000,2.160790
17.500000,2.137385
17.650000,2.111462
17.800000,2.086428
17.950000,2.056654
18.100000,2.021399
18.700000,1.562044
18.850000,1.565451
19.000000,1.569746
19.150000,1.574783
19.300000,1.580116
19.450000,1.584856
19.600000,1.591522
19.750000,1.597447
19.900000,1.603817
20.050000,1.610334
20.200000,1.616408
20.350000,1.620259
20.500000,1.626184
20.650000,1.632554
20.800000,1.638183
20.950000,1.644108
21.100000,1.650478
21.250000,1.656700
21.400000,1.663365
21.550000,1.670031
21.700000,1.676845
21.850000,1.683659
22.000000,1.690325
22.150000,1.697287
22.300000,1.704102
22.450000,1.711064
22.600000,1.717878
22.750000,1.724840
22.900000,1.731802
23.050000,1.738616
