alpha,ld_corrected
-5.000000,-47.815885
-4.850000,-44.417387
-4.700000,-40.896615
-4.550000,-37.457954
-4.400000,-34.131617
-4.250000,-30.572253
-4.100000,-26.850241
-3.950000,-22.995608
-3.800000,-19.062398
-3.650000,-15.052816
-3.500000,-10.946728
-3.350000,-6.786307
-3.200000,-2.570872
-3.050000,1.752886
-2.900000,6.124417
-2.750000,10.544934
-2.600000,15.015349
-2.450000,19.631848
-2.300000,24.218685
-2.150000,28.853385
-2.000000,33.452320
-1.850000,38.269400
-1.700000,43.204938
-1.550000,47.971319
-1.400000,52.839650
-1.250000,57.995778
-1.100000,63.971952
-0.950000,70.565343
-0.800000,78.123997
-0.650000,86.204555
-0.500000,97.211110
-0.350000,109.365684
-0.200000,121.074960
-0.050000,129.824090
0.100000,136.455849
0.250000,143.437950
0.400000,148.970383
0.550000,154.521190
0.700000,158.747884
0.850000,162.062604
1.000000,164.847893
1.150000,164.649686
1.300000,156.278433
1.450000,146.300697
1.600000,142.349836
1.750000,137.040110
1.900000,131.633190
2.050000,128.573440
2.200000,128.049287
2.350000,128.141918
2.500000,128.209414
2.650000,128.467248
2.800000,130.442723
2.950000,132.181638
3.100000,134.054873
3.250000,136.084747
3.400000,138.078095
3.700000,141.564190
3.850000,142.843447
4.000000,144.127670
4.150000,145.557369
4.300000,146.744153
4.450000,147.535185
4.600000,148.494622
4.750000,149.619370
4.900000,150.701529
5.050000,151.742541
5.200000,152.420093
5.350000,153.063497
5.500000,153.690153
5.650000,154.119836
5.800000,154.522109
5.950000,154.928913
6.100000,154.961036
6.250000,154.992188
6.400000,154.685434
6.550000,154.073773
6.700000,152.669584
6.850000,152.874197
7.000000,152.904333
7.150000,153.408051
7.300000,153.582338
7.450000,153.288768
7.600000,153.016947
7.750000,152.595620
7.900000,152.045303
8.050000,151.639261
8.200000,151.370059
8.350000,150.838732
8.500000,150.443913
8.650000,149.906921
8.800000,149.131015
8.950000,148.221609
9.100000,146.868167
9.250000,144.936866
9.400000,142.988947
9.550000,142.494087
9.700000,141.743057
9.850000,141.120891
10.150000,139.768015
10.300000,138.708209
10.450000,137.782061
10.600000,136.578668
10.750000,135.212261
10.900000,133.435087
11.050000,131.435667
11.200000,129.565322
11.350000,127.583168
11.500000,125.610655
11.650000,123.485663
11.800000,121.236191
11.950000,119.012324
12.100000,116.564356
12.250000,114.046442
12.400000,111.286324
12.550000,108.411685
12.700000,105.526810
12.850000,102.420311
13.000000,99.600727
13.150000,96.910086
13.300000,93.951315
13.450000,91.345688
13.600000,88.439497
13.750000,85.401695
13.900000,82.441347
14.050000,79.608233
14.200000,76.595139
14.350000,73.561699
14.500000,70.572481
14.650000,67.499138
14.800000,64.522654
14.950000,61.566917
15.100000,58.540177
15.250000,55.596806
15.400000,52.717189
15.550000,49.950423
15.700000,47.277504
15.850000,44.414029
16.000000,42.050843
16.150000,39.585348
16.300000,37.080665
16.450000,34.859201
16.600000,32.663735
16.750000,30.573007
16.900000,28.555255
17.050000,26.585269
17.200000,24.847708
17.350000,23.211839
17.500000,21.574496
17.650000,19.972213
17.800000,18.537789
17.950000,17.070500
18.100000,15.587589
18.700000,6.476403
18.850000,6.395076
19.000000,6.327327
19.150000,6.271787
19.300000,6.222398
19.450000,6.163157
19.600000,6.136106
19.750000,6.098756
19.900000,6.068168
20.050000,6.038905
20.200000,6.004041
20.350000,5.930020
20.500000,5.891973
20.650000,5.855436
20.800000,5.809778
20.950000,5.764554
21.100000,5.728638
21.250000,5.691756
21.400000,5.662521
21.550000,5.635334
21.700000,5.609304
21.850000,5.588169
22.000000,5.564307
22.150000,5.543249
22.300000,5.523830
22.450000,5.506770
22.600000,5.490357
22.750000,5.474466
22.900000,5.459653
23.050000,5.448328
