alpha,cl_corrected
-5.000000,-0.323222
-4.850000,-0.298188
-4.700000,-0.272561
-4.550000,-0.247083
-4.400000,-0.221604
-4.100000,-0.170499
-3.950000,-0.144872
-3.800000,-0.119394
-3.650000,-0.093915
-3.500000,-0.068140
-3.350000,-0.042514
-3.200000,-0.016887
-3.050000,0.008592
-2.900000,0.034515
-2.750000,0.060289
-2.600000,0.086064
-2.450000,0.111543
-2.300000,0.137466
-2.150000,0.163389
-2.000000,0.189015
-1.850000,0.214642
-1.700000,0.240565
-1.550000,0.266488
-1.100000,0.343368
-0.950000,0.369143
-0.800000,0.394770
-0.650000,0.420396
-0.500000,0.446171
-0.350000,0.472094
-0.200000,0.498165
-0.050000,0.523940
0.100000,0.549567
0.250000,0.575490
0.400000,0.601265
0.550000,0.626595
0.700000,0.651777
0.850000,0.677256
1.000000,0.702883
1.150000,0.728213
1.300000,0.753395
1.450000,0.778133
1.750000,0.824498
1.900000,0.844348
2.050000,0.862272
2.350000,0.899749
2.500000,0.921376
2.800000,0.965371
2.950000,0.988183
3.100000,1.011884
3.250000,1.036474
3.400000,1.060768
3.550000,1.085209
3.700000,1.109799
3.850000,1.134537
4.000000,1.158979
4.150000,1.183124
4.300000,1.207121
4.450000,1.231267
4.600000,1.255412
4.750000,1.279409
4.900000,1.303110
5.050000,1.326663
5.200000,1.349772
5.350000,1.373325
5.500000,1.396877
5.650000,1.420282
5.800000,1.443687
5.950000,1.466795
6.100000,1.489756
6.250000,1.512420
6.400000,1.535084
6.550000,1.557600
6.700000,1.579968
6.850000,1.602335
7.000000,1.624259
7.150000,1.645886
7.300000,1.667069
7.450000,1.687363
7.600000,1.705287
7.750000,1.722766
7.900000,1.742764
8.050000,1.762910
8.200000,1.782167
8.350000,1.800683
8.500000,1.817126
8.800000,1.858454
8.950000,1.879637
9.100000,1.899783
9.250000,1.919929
9.400000,1.939926
9.550000,1.959924
9.700000,1.979626
9.850000,1.998883
10.000000,2.017695
10.150000,2.033101
10.300000,2.046581
10.450000,2.061838
10.600000,2.076059
10.750000,2.090280
10.900000,2.103315
11.050000,2.117536
11.200000,2.130275
11.350000,2.145533
11.500000,2.160346
11.650000,2.173529
11.800000,2.186417
11.950000,2.198564
12.100000,2.207896
12.250000,2.215747
12.400000,2.224190
12.550000,2.230856
12.700000,2.238115
12.850000,2.243744
13.000000,2.248187
13.150000,2.253372
13.300000,2.254261
13.450000,2.258112
13.600000,2.259149
13.750000,2.259890
13.900000,2.258409
14.050000,2.257520
14.200000,2.253224
14.350000,2.247595
14.500000,2.242114
14.650000,2.231449
14.800000,2.222116
14.950000,2.211007
15.100000,2.196638
15.250000,2.180936
15.400000,2.164641
15.550000,2.147014
15.700000,2.129682
15.850000,2.108203
16.000000,2.089539
16.150000,2.068504
16.300000,2.046729
16.450000,2.024954
16.600000,2.000512
16.750000,1.975774
16.900000,1.945555
