alpha,ld_corrected
-5.000000,-41.438758
-4.850000,-38.877202
-4.700000,-35.957973
-4.550000,-32.944382
-4.400000,-29.865809
-4.100000,-23.517108
-3.950000,-20.177205
-3.800000,-16.745268
-3.650000,-13.302435
-3.500000,-9.762229
-3.350000,-6.215447
-3.200000,-2.498071
-3.050000,1.282330
-2.900000,5.197978
-2.750000,9.148620
-2.600000,13.139578
-2.450000,17.107792
-2.300000,21.279531
-2.150000,25.529489
-2.000000,29.766210
-1.850000,33.962363
-1.700000,38.306544
-1.550000,42.843739
-1.100000,61.097537
-0.950000,69.781284
-0.800000,80.565243
-0.650000,91.390520
-0.500000,99.149161
-0.350000,106.327519
-0.200000,112.962648
-0.050000,119.077298
0.100000,125.186062
0.250000,131.390359
0.400000,136.341180
0.550000,141.125010
0.700000,145.161993
0.850000,149.504618
1.000000,153.803637
1.150000,157.963787
1.300000,161.326630
1.450000,163.817532
1.750000,161.349970
1.900000,152.961582
2.050000,141.821021
2.350000,126.369242
2.500000,123.674653
2.800000,120.370466
2.950000,119.634787
3.100000,120.176287
3.250000,121.651892
3.400000,122.916296
3.550000,124.308051
3.700000,125.827559
3.850000,127.332995
4.000000,128.775404
4.150000,129.870913
4.300000,130.358669
4.450000,131.405194
4.600000,132.427432
4.750000,133.133123
4.900000,133.789559
5.050000,134.006381
5.200000,133.905917
5.350000,134.244819
5.500000,134.703700
5.650000,135.007804
5.800000,135.176670
5.950000,135.313220
6.100000,135.186537
6.250000,135.037475
6.400000,134.893128
6.550000,134.507749
6.700000,134.350982
6.850000,134.086641
7.000000,133.793969
7.150000,133.162293
7.300000,132.307040
7.450000,131.006419
7.600000,128.217034
7.750000,125.474584
7.900000,124.661213
8.050000,124.061196
8.200000,123.504273
8.350000,122.745948
8.500000,121.954740
8.800000,120.678846
8.950000,120.181394
9.100000,119.183365
9.250000,118.295052
9.400000,117.500085
9.550000,116.801199
9.700000,115.971035
9.850000,115.076720
10.000000,114.058524
10.150000,111.708843
10.300000,109.384333
10.450000,108.119475
10.600000,106.628608
10.750000,105.303758
10.900000,103.560568
11.050000,102.345855
11.200000,100.674623
11.350000,99.838647
11.500000,98.871655
11.650000,97.423995
11.800000,95.895471
11.950000,94.197237
12.100000,91.766242
12.250000,89.093154
12.400000,86.746888
12.550000,84.119763
12.700000,81.742679
12.850000,79.088598
13.000000,76.416977
13.150000,74.002366
13.300000,70.933318
13.450000,68.614775
13.600000,65.941307
13.750000,63.391019
13.900000,60.677284
14.050000,58.258574
14.200000,55.539165
14.350000,52.847283
14.500000,50.373266
14.650000,47.538318
14.800000,45.027687
14.950000,42.535716
15.100000,39.989765
15.250000,37.511797
15.400000,35.174544
15.550000,32.939764
15.700000,30.864964
15.850000,28.702566
16.000000,26.847474
16.150000,25.012144
16.300000,23.266216
16.450000,21.634121
16.600000,20.009123
16.750000,18.487641
16.900000,16.901706
