alpha,cl_corrected
-5.000000,-0.325741
-4.850000,-0.299669
-4.700000,-0.273746
-4.550000,-0.247824
-4.400000,-0.221901
-4.250000,-0.195829
-4.100000,-0.169907
-3.950000,-0.143984
-3.800000,-0.118209
-3.650000,-0.092138
-3.500000,-0.066067
-3.350000,-0.040144
-3.200000,-0.014221
-3.050000,0.011702
-2.900000,0.037773
-2.750000,0.063845
-2.600000,0.089768
-2.450000,0.115690
-2.300000,0.141762
-2.150000,0.167833
-2.000000,0.193904
-1.850000,0.219827
-1.700000,0.245750
-1.550000,0.271969
-1.400000,0.297892
-1.250000,0.323815
-1.100000,0.349590
-0.950000,0.375513
-0.650000,0.427062
-0.500000,0.452837
-0.350000,0.478908
-0.200000,0.504979
-0.050000,0.530458
0.100000,0.555640
0.250000,0.580822
0.400000,0.606005
0.550000,0.630595
0.700000,0.654592
0.850000,0.676960
1.000000,0.698439
1.150000,0.719770
1.300000,0.742137
1.450000,0.765542
1.600000,0.787466
1.900000,0.833979
2.050000,0.858272
2.200000,0.882270
2.350000,0.906711
2.500000,0.931745
2.650000,0.956928
2.800000,0.982110
2.950000,1.007440
3.100000,1.032623
3.250000,1.057953
3.400000,1.082987
3.550000,1.107725
3.700000,1.132611
3.850000,1.157645
4.000000,1.182383
4.150000,1.206973
4.300000,1.231859
4.450000,1.256597
4.600000,1.281335
4.750000,1.305925
4.900000,1.330515
5.050000,1.355104
5.200000,1.379546
5.350000,1.403988
5.500000,1.428429
5.650000,1.452575
5.800000,1.476720
5.950000,1.500717
6.100000,1.525011
6.250000,1.549156
6.400000,1.573302
6.550000,1.597447
6.700000,1.621592
6.850000,1.645738
7.000000,1.669735
7.150000,1.693732
7.300000,1.717433
7.450000,1.740986
7.600000,1.764539
7.750000,1.787944
7.900000,1.811200
8.050000,1.834309
8.200000,1.857121
8.350000,1.879785
8.500000,1.902005
8.650000,1.923484
8.800000,1.946296
8.950000,1.968812
9.100000,1.991180
9.250000,2.013548
9.400000,2.035767
9.550000,2.057987
9.700000,2.079614
9.850000,2.101241
10.000000,2.122276
10.150000,2.142866
10.300000,2.162716
10.450000,2.182269
10.600000,2.201378
10.750000,2.219006
11.200000,2.271592
11.350000,2.289072
11.500000,2.305811
11.650000,2.322253
11.800000,2.336918
11.950000,2.350250
12.100000,2.362397
12.250000,2.373951
12.400000,2.385209
12.550000,2.396022
12.700000,2.406392
12.850000,2.416613
13.000000,2.426241
13.150000,2.435277
13.300000,2.444313
13.450000,2.451720
13.600000,2.459274
13.750000,2.465644
13.900000,2.472014
14.050000,2.476013
14.200000,2.480457
14.350000,2.484309
14.500000,2.484901
14.650000,2.488753
14.800000,2.488012
14.950000,2.485494
15.100000,2.484753
15.250000,2.480902
15.400000,2.475421
15.550000,2.470384
15.700000,2.463126
15.850000,2.453201
16.000000,2.442980
16.150000,2.430241
16.300000,2.417798
16.450000,2.402688
16.600000,2.390245
16.750000,2.372025
16.900000,2.351731
17.050000,2.333659
17.200000,2.315143
17.350000,2.297071
17.500000,2.278258
17.650000,2.255446
17.800000,2.234263
17.950000,2.212636
18.100000,2.189083
18.250000,2.166123
18.400000,2.141977
18.550000,2.114869
18.700000,2.085688
18.850000,2.040952
