alpha,cl_corrected
-5.000000,-0.226579
-4.850000,-0.208708
-4.700000,-0.190836
-4.550000,-0.172862
-4.400000,-0.154785
-4.250000,-0.136810
-4.100000,-0.118939
-3.950000,-0.101067
-3.800000,-0.082990
-3.650000,-0.065016
-3.500000,-0.047041
-3.350000,-0.029170
-3.200000,-0.011093
-3.050000,0.006984
-2.900000,0.024959
-2.750000,0.042933
-2.600000,0.060805
-2.450000,0.078882
-2.300000,0.096959
-2.150000,0.114933
-2.000000,0.132907
-1.850000,0.150882
-1.700000,0.168959
-1.550000,0.187036
-1.400000,0.205010
-1.250000,0.222882
-1.100000,0.240959
-0.950000,0.259036
-0.800000,0.276805
-0.650000,0.294779
-0.500000,0.312651
-0.350000,0.330420
-0.200000,0.348394
-0.050000,0.366266
0.100000,0.383932
0.250000,0.401187
0.400000,0.418648
0.550000,0.435801
0.700000,0.452337
0.850000,0.467846
1.000000,0.483150
1.300000,0.512423
1.450000,0.528035
1.600000,0.544160
1.750000,0.559464
2.050000,0.592126
2.200000,0.608663
2.500000,0.643276
2.650000,0.660634
2.800000,0.678095
2.950000,0.695658
3.100000,0.713119
3.250000,0.730477
3.400000,0.747835
3.550000,0.764885
3.700000,0.782141
3.850000,0.799396
4.000000,0.816446
4.150000,0.833496
4.300000,0.850649
4.450000,0.867801
4.600000,0.884851
4.750000,0.901901
4.900000,0.918848
5.050000,0.935796
5.200000,0.952743
5.350000,0.969587
5.500000,0.986432
5.650000,1.003174
5.800000,1.019710
5.950000,1.036349
6.100000,1.053091
6.250000,1.069730
6.400000,1.086369
6.700000,1.119545
6.850000,1.136081
7.000000,1.152515
7.150000,1.169051
7.300000,1.185382
7.450000,1.201508
7.600000,1.217633
7.750000,1.233656
7.900000,1.249679
8.050000,1.265599
8.200000,1.281314
8.350000,1.296720
8.500000,1.312024
8.650000,1.327020
8.800000,1.342529
8.950000,1.357833
9.100000,1.373137
9.250000,1.388235
9.400000,1.403334
9.550000,1.418227
9.700000,1.432914
9.850000,1.447499
10.000000,1.461879
10.150000,1.475745
10.300000,1.489200
10.450000,1.502347
10.600000,1.514980
10.750000,1.526997
10.900000,1.536652
11.200000,1.561405
11.350000,1.572909
11.500000,1.583283
11.650000,1.592527
11.800000,1.600846
11.950000,1.609166
12.100000,1.617280
12.250000,1.625086
12.400000,1.632686
12.550000,1.639979
12.700000,1.646963
12.850000,1.653742
13.000000,1.660110
13.150000,1.665862
13.300000,1.671716
13.450000,1.676646
13.600000,1.681371
13.750000,1.685171
13.900000,1.689177
14.050000,1.691231
14.200000,1.693491
14.350000,1.695340
14.500000,1.694929
14.650000,1.696675
14.800000,1.695340
14.950000,1.692464
15.100000,1.690821
15.250000,1.687328
15.400000,1.682398
15.550000,1.677776
15.700000,1.671408
15.850000,1.663602
16.000000,1.655591
16.150000,1.646039
16.300000,1.636179
16.450000,1.624983
16.600000,1.615226
16.750000,1.601873
16.900000,1.587494
17.050000,1.574039
17.200000,1.560481
17.350000,1.547437
17.500000,1.533468
17.650000,1.516726
17.800000,1.501320
17.950000,1.485194
18.100000,1.466912
18.250000,1.448835
18.400000,1.427368
18.550000,1.396247
19.150000,1.110095
19.300000,1.107836
19.450000,1.110814
19.600000,1.114512
19.750000,1.118312
19.900000,1.122318
20.050000,1.126324
20.200000,1.130329
20.350000,1.134027
20.500000,1.137416
20.650000,1.136492
20.800000,1.140908
20.950000,1.145017
21.100000,1.149228
21.250000,1.153234
21.400000,1.156418
21.550000,1.160834
21.700000,1.165045
21.850000,1.169565
22.000000,1.174084
22.150000,1.178706
22.300000,1.183225
22.450000,1.187950
22.600000,1.192572
22.750000,1.197297
22.900000,1.202021
23.050000,1.206643
