alpha,ld_corrected
-5.000000,-34.751442
-4.850000,-32.307705
-4.700000,-29.771629
-4.550000,-27.222331
-4.400000,-24.608069
-4.250000,-21.889666
-4.100000,-19.214666
-3.950000,-16.514240
-3.800000,-13.694736
-3.650000,-10.835960
-3.500000,-7.906121
-3.350000,-4.935666
-3.200000,-1.892958
-3.050000,1.200054
-2.900000,4.318107
-2.750000,7.466608
-2.600000,10.630180
-2.450000,13.912113
-2.300000,17.221799
-2.150000,20.523762
-2.000000,23.818532
-1.850000,27.185901
-1.700000,30.608479
-1.550000,34.068462
-1.400000,37.547655
-1.250000,40.970924
-1.100000,44.539533
-0.950000,48.327598
-0.800000,52.624496
-0.650000,57.017251
-0.500000,62.033892
-0.350000,67.708963
-0.200000,73.812305
-0.050000,81.755738
0.100000,90.124863
0.250000,95.293892
0.400000,99.678112
0.550000,102.783191
0.700000,103.273316
0.850000,100.828968
1.000000,98.602097
1.300000,91.016479
1.450000,89.649367
1.600000,89.060610
1.750000,87.143955
2.050000,87.077373
2.200000,87.326045
2.500000,90.094674
2.650000,91.627469
2.800000,93.144896
2.950000,94.776341
3.100000,96.367450
3.250000,97.919196
3.400000,99.182398
3.550000,100.115868
3.700000,101.182483
3.850000,102.355437
4.000000,103.347583
4.150000,104.056911
4.300000,105.018335
4.450000,106.088162
4.600000,106.866077
4.750000,107.625425
4.900000,108.227126
5.050000,108.940108
5.200000,109.510663
5.350000,109.930532
5.500000,110.462689
5.650000,110.725566
5.800000,110.958653
5.950000,111.196258
6.100000,111.438195
6.250000,111.779524
6.400000,111.996820
6.700000,112.630246
6.850000,112.818376
7.000000,112.880972
7.150000,113.170486
7.300000,113.108978
7.450000,113.029882
7.600000,112.848303
7.750000,112.662652
7.900000,112.381194
8.050000,112.198493
8.200000,111.710001
8.350000,111.115706
8.500000,110.346860
8.650000,109.399826
8.800000,108.971525
8.950000,108.453119
9.100000,107.951016
9.250000,107.448558
9.400000,106.798616
9.550000,106.313856
9.700000,105.594284
9.850000,104.967319
10.000000,104.345382
10.150000,103.561033
10.300000,102.491384
10.450000,101.441374
10.600000,100.396298
10.750000,99.284608
10.900000,98.440235
11.200000,95.615756
11.350000,94.017267
11.500000,92.319687
11.650000,90.742256
11.800000,89.133972
11.950000,87.549820
12.100000,85.979788
12.250000,84.376211
12.400000,82.625830
12.550000,80.866807
12.700000,79.066882
12.850000,77.205511
13.000000,75.288440
13.150000,73.289129
13.300000,71.379863
13.450000,69.282913
13.600000,67.227956
13.750000,65.064536
13.900000,63.028999
14.050000,60.704644
14.200000,58.537540
14.350000,56.398530
14.500000,53.961444
14.650000,52.061217
14.800000,49.745887
14.950000,47.368148
15.100000,45.318160
15.250000,43.132116
15.400000,40.924308
15.550000,38.918495
15.700000,36.847625
15.850000,34.767027
16.000000,32.829483
16.150000,30.894121
16.300000,29.061786
16.450000,27.260243
16.600000,25.687430
16.750000,23.994506
16.900000,22.362217
17.050000,20.903568
17.200000,19.549999
17.350000,18.323702
17.500000,17.131807
17.650000,15.913611
17.800000,14.839573
17.950000,13.824761
18.100000,12.819292
18.250000,11.904968
18.400000,10.976377
18.550000,9.906675
19.150000,4.603912
19.300000,4.484801
19.450000,4.441125
19.600000,4.409368
19.750000,4.379698
19.900000,4.351925
20.050000,4.326190
20.200000,4.299301
20.350000,4.269679
20.500000,4.233980
20.650000,4.126545
20.800000,4.106203
20.950000,4.081620
21.100000,4.057435
21.250000,4.030031
21.400000,3.982018
21.550000,3.960540
21.700000,3.933439
21.850000,3.914992
22.000000,3.896210
22.150000,3.878981
22.300000,3.863592
22.450000,3.851603
22.600000,3.839204
22.750000,3.827063
22.900000,3.815214
23.050000,3.806565
