alpha,cl_corrected
-5.000000,-0.226169
-4.850000,-0.208297
-4.700000,-0.190528
-4.550000,-0.172862
-4.400000,-0.155196
-4.250000,-0.137324
-4.100000,-0.119555
-3.950000,-0.101683
-3.800000,-0.084017
-3.650000,-0.066043
-3.500000,-0.048171
-3.350000,-0.030197
-3.200000,-0.012428
-3.050000,0.005444
-2.900000,0.023418
-2.750000,0.041290
-2.600000,0.059161
-2.450000,0.077033
-2.300000,0.095007
-2.150000,0.112982
-2.000000,0.130853
-1.850000,0.148725
-1.700000,0.166596
-1.400000,0.202545
-1.250000,0.220417
-1.100000,0.238288
-0.950000,0.256263
-0.800000,0.274237
-0.650000,0.292109
-0.500000,0.309980
-0.350000,0.327852
-0.200000,0.345929
-0.050000,0.363801
0.100000,0.381570
0.250000,0.399544
0.400000,0.417005
0.550000,0.434363
0.700000,0.452029
0.850000,0.469695
1.000000,0.487156
1.150000,0.504206
1.300000,0.520845
1.450000,0.535841
1.600000,0.548371
1.750000,0.561929
1.900000,0.576925
2.050000,0.590380
2.350000,0.620885
2.500000,0.637421
2.650000,0.653444
2.950000,0.687544
3.100000,0.704697
3.250000,0.721850
3.550000,0.756360
3.700000,0.773513
3.850000,0.790460
4.000000,0.807305
4.150000,0.824252
4.300000,0.841199
4.450000,0.858044
4.600000,0.874683
4.750000,0.891425
4.900000,0.908269
5.050000,0.925011
5.200000,0.941650
5.350000,0.958289
5.500000,0.974826
5.650000,0.991259
5.800000,1.007693
5.950000,1.024024
6.100000,1.040252
6.250000,1.056378
6.400000,1.072401
6.550000,1.088218
6.700000,1.103933
6.850000,1.119031
7.000000,1.134130
7.150000,1.149947
7.300000,1.165764
7.450000,1.181274
7.600000,1.197091
7.750000,1.212395
7.900000,1.227391
8.050000,1.242489
8.200000,1.257279
8.350000,1.271967
8.500000,1.286552
8.650000,1.301445
8.800000,1.315619
8.950000,1.329793
9.100000,1.343351
9.250000,1.356601
9.400000,1.368823
9.550000,1.378889
9.850000,1.405388
10.000000,1.419049
10.150000,1.431990
10.300000,1.444932
10.450000,1.457565
10.600000,1.469993
10.750000,1.481702
10.900000,1.492384
11.050000,1.502758
11.200000,1.512002
11.350000,1.520732
11.500000,1.529257
11.650000,1.537371
11.800000,1.545280
11.950000,1.552880
12.100000,1.560481
12.250000,1.567465
12.400000,1.574347
12.550000,1.580612
12.700000,1.586569
12.850000,1.591808
13.000000,1.596430
13.150000,1.600127
13.300000,1.603517
13.450000,1.605982
13.600000,1.607625
13.750000,1.608858
13.900000,1.609577
14.050000,1.610090
14.200000,1.609268
14.350000,1.607214
14.500000,1.604441
14.650000,1.600333
14.800000,1.595813
14.950000,1.589959
15.100000,1.582975
15.250000,1.574655
15.400000,1.565514
15.550000,1.555859
15.700000,1.545896
15.850000,1.532954
16.000000,1.521964
16.150000,1.509126
16.300000,1.495157
16.450000,1.481599
16.600000,1.466809
16.750000,1.451813
16.900000,1.436304
17.050000,1.418843
17.200000,1.401485
17.350000,1.381867
17.500000,1.353930
18.100000,1.073119
18.250000,1.067470
18.400000,1.069216
18.550000,1.071476
18.700000,1.074249
18.850000,1.077125
19.000000,1.080720
19.150000,1.084931
19.300000,1.089348
19.450000,1.093559
19.600000,1.098386
19.750000,1.102906
19.900000,1.107528
20.050000,1.112149
20.200000,1.116771
20.350000,1.120469
20.500000,1.124680
20.650000,1.129097
20.800000,1.133308
20.950000,1.137519
21.100000,1.142141
21.250000,1.146558
21.400000,1.151179
21.550000,1.155904
21.700000,1.160732
21.850000,1.165456
22.000000,1.170078
22.150000,1.174906
22.300000,1.179630
22.450000,1.184458
22.600000,1.189285
22.750000,1.194112
22.900000,1.198940
23.050000,1.203665
