alpha,ld_corrected
-5.000000,-30.522073
-4.850000,-28.378328
-4.700000,-26.207429
-4.550000,-24.210336
-4.400000,-22.013559
-4.250000,-19.702147
-4.100000,-17.351966
-3.950000,-14.887762
-3.800000,-12.410222
-3.650000,-9.842454
-3.500000,-7.243794
-3.350000,-4.582229
-3.200000,-1.897400
-3.050000,0.838776
-2.900000,3.641990
-2.750000,6.481888
-2.600000,9.360959
-2.450000,12.246882
-2.300000,15.201157
-2.150000,18.193490
-2.000000,21.173657
-1.850000,24.222285
-1.700000,27.310895
-1.400000,33.589576
-1.250000,36.920732
-1.100000,40.733060
-0.950000,45.196251
-0.800000,50.134750
-0.650000,56.282989
-0.500000,64.579238
-0.350000,73.018257
-0.200000,78.799322
-0.050000,83.440517
0.100000,87.919257
0.250000,92.917190
0.400000,95.863150
0.550000,98.494962
0.700000,101.579548
0.850000,104.609176
1.000000,107.067250
1.150000,108.431384
1.300000,108.735916
1.450000,105.273236
1.600000,97.056895
1.750000,92.119548
1.900000,89.723947
2.050000,85.438503
2.350000,82.674445
2.500000,83.105799
2.650000,82.924406
2.950000,84.986923
3.100000,86.148761
3.250000,87.285311
3.550000,89.829009
3.700000,90.894584
3.850000,91.807218
4.000000,92.474762
4.150000,93.346762
4.300000,94.199232
4.450000,94.811455
4.600000,95.385253
4.750000,95.852106
4.900000,96.624374
5.050000,97.165013
5.200000,97.681538
5.350000,98.185362
5.500000,98.467225
5.650000,98.730997
5.800000,98.987514
5.950000,99.227119
6.100000,99.260699
6.250000,99.283617
6.400000,99.204488
6.550000,98.928904
6.700000,98.565415
6.850000,97.731973
7.000000,97.017069
7.150000,96.960115
7.300000,96.904770
7.450000,96.667240
7.600000,96.773734
7.750000,96.374798
7.900000,95.889898
8.050000,95.502624
8.200000,95.032461
8.350000,94.499781
8.500000,94.046195
8.650000,93.899349
8.800000,93.438851
8.950000,92.927539
9.100000,92.326520
9.250000,91.662198
9.400000,90.650535
9.550000,89.364142
9.850000,88.056894
10.000000,87.326063
10.150000,86.368519
10.300000,85.448348
10.450000,84.545532
10.600000,83.712582
10.750000,83.008512
10.900000,82.089320
11.050000,81.186256
11.200000,80.000081
11.350000,78.590798
11.500000,77.196209
11.650000,75.695275
11.800000,74.149700
11.950000,72.598426
12.100000,71.060150
12.250000,69.387571
12.400000,67.772140
12.550000,66.023900
12.700000,64.285631
12.850000,62.448317
13.000000,60.562579
13.150000,58.526963
13.300000,56.561432
13.450000,54.495475
13.600000,52.416858
13.750000,50.402806
13.900000,48.437452
14.050000,46.574778
14.200000,44.590424
14.350000,42.586491
14.500000,40.629045
14.650000,38.627386
14.800000,36.719128
14.950000,34.806454
15.100000,32.916916
15.250000,31.039916
15.400000,29.240077
15.550000,27.522712
15.700000,25.898744
15.850000,24.194357
16.000000,22.736248
16.150000,21.270270
16.300000,19.840194
16.450000,18.540849
16.600000,17.274866
16.750000,16.088355
16.900000,14.963057
17.050000,13.838321
17.200000,12.809478
17.350000,11.788665
17.500000,10.612400
18.100000,4.747476
18.250000,4.566132
18.400000,4.498555
18.550000,4.437857
18.700000,4.385586
18.850000,4.334159
19.000000,4.296414
19.150000,4.268526
19.300000,4.244984
19.450000,4.219140
19.600000,4.203062
19.750000,4.182901
19.900000,4.165203
20.050000,4.147490
20.200000,4.128087
20.350000,4.094833
20.500000,4.070062
20.650000,4.043753
20.800000,4.016401
20.950000,3.988496
21.100000,3.966456
21.250000,3.942770
21.400000,3.923584
21.550000,3.905609
21.700000,3.888678
21.850000,3.873749
22.000000,3.857570
22.150000,3.843203
22.300000,3.829720
22.450000,3.817260
22.600000,3.805712
22.750000,3.793965
22.900000,3.783099
23.050000,3.774071
