alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.220200,0.007410,-0.080200,-29.716599,2500000.000000,5.000000,-0.226169,0.007410,0.007410,-30.522073,0.300000
-4.850000,-0.202800,0.007340,-0.080300,-27.629428,2500000.000000,5.000000,-0.208297,0.007340,0.007340,-28.378328,0.300000
-4.700000,-0.185500,0.007270,-0.080400,-25.515818,2500000.000000,5.000000,-0.190528,0.007270,0.007270,-26.207429,0.300000
-4.550000,-0.168300,0.007140,-0.080400,-23.571429,2500000.000000,5.000000,-0.172862,0.007140,0.007140,-24.210336,0.300000
-4.400000,-0.151100,0.007050,-0.080500,-21.432624,2500000.000000,5.000000,-0.155196,0.007050,0.007050,-22.013559,0.300000
-4.250000,-0.133700,0.006970,-0.080600,-19.182209,2500000.000000,5.000000,-0.137324,0.006970,0.006970,-19.702147,0.300000
-4.100000,-0.116400,0.006890,-0.080700,-16.894049,2500000.000000,5.000000,-0.119555,0.006890,0.006890,-17.351966,0.300000
-3.950000,-0.099000,0.006830,-0.080700,-14.494876,2500000.000000,5.000000,-0.101683,0.006830,0.006830,-14.887762,0.300000
-3.800000,-0.081800,0.006770,-0.080800,-12.082718,2500000.000000,5.000000,-0.084017,0.006770,0.006770,-12.410222,0.300000
-3.650000,-0.064300,0.006710,-0.080900,-9.582712,2500000.000000,5.000000,-0.066043,0.006710,0.006710,-9.842454,0.300000
-3.500000,-0.046900,0.006650,-0.081100,-7.052632,2500000.000000,5.000000,-0.048171,0.006650,0.006650,-7.243794,0.300000
-3.350000,-0.029400,0.006590,-0.081200,-4.461305,2500000.000000,5.000000,-0.030197,0.006590,0.006590,-4.582229,0.300000
-3.200000,-0.012100,0.006550,-0.081300,-1.847328,2500000.000000,5.000000,-0.012428,0.006550,0.006550,-1.897400,0.300000
-3.050000,0.005300,0.006490,-0.081400,0.816641,2500000.000000,5.000000,0.005444,0.006490,0.006490,0.838776,0.300000
-2.900000,0.022800,0.006430,-0.081500,3.545879,2500000.000000,5.000000,0.023418,0.006430,0.006430,3.641990,0.300000
-2.750000,0.040200,0.006370,-0.081600,6.310832,2500000.000000,5.000000,0.041290,0.006370,0.006370,6.481888,0.300000
-2.600000,0.057600,0.006320,-0.081700,9.113924,2500000.000000,5.000000,0.059161,0.006320,0.006320,9.360959,0.300000
-2.450000,0.075000,0.006290,-0.081800,11.923688,2500000.000000,5.000000,0.077033,0.006290,0.006290,12.246882,0.300000
-2.300000,0.092500,0.006250,-0.082000,14.800000,2500000.000000,5.000000,0.095007,0.006250,0.006250,15.201157,0.300000
-2.150000,0.110000,0.006210,-0.082100,17.713366,2500000.000000,5.000000,0.112982,0.006210,0.006210,18.193490,0.300000
-2.000000,0.127400,0.006180,-0.082200,20.614887,2500000.000000,5.000000,0.130853,0.006180,0.006180,21.173657,0.300000
-1.850000,0.144800,0.006140,-0.082400,23.583062,2500000.000000,5.000000,0.148725,0.006140,0.006140,24.222285,0.300000
-1.700000,0.162200,0.006100,-0.082500,26.590164,2500000.000000,5.000000,0.166596,0.006100,0.006100,27.310895,0.300000
-1.400000,0.197200,0.006030,-0.082800,32.703151,2500000.000000,5.000000,0.202545,0.006030,0.006030,33.589576,0.300000
-1.250000,0.214600,0.005970,-0.082900,35.946399,2500000.000000,5.000000,0.220417,0.005970,0.005970,36.920732,0.300000
-1.100000,0.232000,0.005850,-0.083100,39.658120,2500000.000000,5.000000,0.238288,0.005850,0.005850,40.733060,0.300000
-0.950000,0.249500,0.005670,-0.083400,44.003527,2500000.000000,5.000000,0.256263,0.005670,0.005670,45.196251,0.300000
-0.800000,0.267000,0.005470,-0.083700,48.811700,2500000.000000,5.000000,0.274237,0.005470,0.005470,50.134750,0.300000
-0.650000,0.284400,0.005190,-0.084100,54.797688,2500000.000000,5.000000,0.292109,0.005190,0.005190,56.282989,0.300000
-0.500000,0.301800,0.004800,-0.084600,62.875000,2500000.000000,5.000000,0.309980,0.004800,0.004800,64.579238,0.300000
