alpha,cl_corrected
-5.000000,-0.226579
-4.850000,-0.208605
-4.700000,-0.190528
-4.550000,-0.172656
-4.400000,-0.154579
-4.250000,-0.136502
-4.100000,-0.118425
-3.950000,-0.100348
-3.800000,-0.082374
-3.650000,-0.064297
-3.500000,-0.046220
-3.350000,-0.028143
-3.200000,-0.010168
-3.050000,0.007909
-2.900000,0.025986
-2.750000,0.044063
-2.600000,0.062140
-2.450000,0.080114
-2.300000,0.098191
-2.150000,0.116268
-2.000000,0.134345
-1.850000,0.152422
-1.700000,0.170397
-1.550000,0.188474
-1.400000,0.206345
-1.250000,0.224217
-1.100000,0.242089
-0.950000,0.259858
-0.800000,0.277832
-0.650000,0.295601
-0.500000,0.313678
-0.200000,0.349421
-0.050000,0.366163
0.100000,0.382289
0.250000,0.398517
0.400000,0.414848
0.550000,0.431281
0.700000,0.447510
0.850000,0.463224
1.000000,0.478836
1.150000,0.494962
1.300000,0.511807
1.450000,0.528343
1.750000,0.561416
1.900000,0.578158
2.050000,0.595618
2.200000,0.613182
2.350000,0.630745
2.500000,0.648309
2.650000,0.665872
2.950000,0.700999
3.100000,0.718460
3.250000,0.735715
3.400000,0.753176
3.550000,0.770534
3.700000,0.787790
3.850000,0.805045
4.000000,0.822403
4.150000,0.839658
4.300000,0.856914
4.450000,0.874067
4.600000,0.891322
4.750000,0.908475
4.900000,0.925627
5.050000,0.942780
5.200000,0.959933
5.500000,0.994135
5.650000,1.011185
5.800000,1.028132
5.950000,1.045182
6.100000,1.062129
6.250000,1.078974
6.400000,1.095819
6.550000,1.112663
6.700000,1.129508
6.850000,1.146352
7.000000,1.162991
7.150000,1.179630
7.300000,1.196167
7.450000,1.212600
7.600000,1.228829
7.750000,1.245057
7.900000,1.261182
8.050000,1.277308
8.350000,1.309662
8.500000,1.325685
8.800000,1.357628
8.950000,1.373445
9.100000,1.389262
9.250000,1.404977
9.400000,1.420486
9.550000,1.435688
9.700000,1.450683
9.850000,1.465474
10.000000,1.480367
10.150000,1.494952
10.300000,1.509331
10.450000,1.523402
10.600000,1.537166
10.750000,1.550723
10.900000,1.564281
11.050000,1.577531
11.200000,1.590678
11.350000,1.603414
11.500000,1.615739
11.650000,1.627551
11.800000,1.638335
12.400000,1.672641
12.550000,1.680139
12.700000,1.686199
12.850000,1.692977
13.000000,1.699756
13.150000,1.705508
13.300000,1.712492
13.450000,1.717114
13.600000,1.722764
13.750000,1.727488
13.900000,1.732418
14.050000,1.735500
14.200000,1.739813
14.350000,1.743614
14.500000,1.746592
14.650000,1.749160
14.800000,1.751009
14.950000,1.752550
15.100000,1.752550
15.250000,1.752652
15.400000,1.751728
15.550000,1.750393
15.700000,1.748133
15.850000,1.743922
16.000000,1.741354
16.150000,1.736732
16.300000,1.730056
16.450000,1.724099
16.600000,1.717217
16.750000,1.708898
16.900000,1.698729
17.050000,1.688458
17.200000,1.678393
17.350000,1.668635
17.500000,1.656926
17.650000,1.642547
17.800000,1.631454
17.950000,1.617074
18.100000,1.601771
18.250000,1.587288
18.400000,1.571163
18.550000,1.552778
18.700000,1.535522
18.850000,1.514364
19.000000,1.491870
19.150000,1.459106
19.750000,1.133924
19.900000,1.137416
20.050000,1.140806
20.200000,1.144401
20.350000,1.147893
20.500000,1.150974
20.650000,1.147995
20.800000,1.151898
20.950000,1.156007
21.100000,1.159807
21.250000,1.163813
21.400000,1.167202
21.550000,1.167510
21.700000,1.172132
21.850000,1.176344
22.000000,1.180863
22.150000,1.185382
22.300000,1.189593
22.450000,1.194112
22.600000,1.198529
22.750000,1.203151
22.900000,1.207568
23.050000,1.211881
