alpha,ld_corrected
-5.000000,-37.575357
-4.850000,-34.942222
-4.700000,-32.238242
-4.550000,-29.413353
-4.400000,-26.605737
-4.250000,-23.698312
-4.100000,-20.703711
-3.950000,-17.666932
-3.800000,-14.605290
-3.650000,-11.481569
-3.500000,-8.342912
-3.350000,-5.116851
-3.200000,-1.862334
-3.050000,1.459172
-2.900000,4.830067
-2.750000,8.236040
-2.600000,11.680425
-2.450000,15.115888
-2.300000,18.632117
-2.150000,22.231034
-2.000000,25.885425
-1.850000,29.482091
-1.700000,33.022626
-1.550000,36.668055
-1.400000,40.223281
-1.250000,43.792395
-1.100000,47.375478
-0.950000,50.753440
-0.800000,54.583880
-0.650000,58.650967
-0.500000,63.114270
-0.200000,72.948055
-0.050000,75.967427
0.100000,78.177617
0.250000,80.999352
0.400000,84.662813
0.550000,88.741042
0.700000,90.406006
0.850000,89.598537
1.000000,88.183506
1.150000,87.759218
1.300000,88.855297
1.450000,88.946617
1.750000,89.539983
1.900000,89.915631
2.050000,91.774776
2.200000,93.472834
2.350000,95.278745
2.500000,97.197720
2.650000,99.088138
2.950000,102.635327
3.100000,104.124649
3.250000,105.252567
3.400000,106.682186
3.550000,108.069328
3.700000,109.112143
3.850000,110.129281
4.000000,111.436737
4.150000,112.404081
4.300000,113.498524
4.450000,114.406611
4.600000,115.306840
4.750000,116.173214
4.900000,117.019872
5.050000,117.847481
5.200000,118.656675
5.500000,120.064626
5.650000,120.666474
5.800000,121.242015
5.950000,121.816111
6.100000,122.365146
6.250000,122.750170
6.400000,123.125676
6.550000,123.492014
6.700000,123.849514
6.850000,124.064079
7.000000,124.251196
7.150000,124.302455
7.300000,124.341652
7.450000,124.241842
7.600000,123.998854
7.750000,123.640209
7.900000,123.162349
8.050000,122.818077
8.350000,122.284017
8.500000,121.958110
8.800000,121.216753
8.950000,120.689372
9.100000,120.178414
9.250000,119.674376
9.400000,119.168328
9.550000,118.260925
9.700000,117.274322
9.850000,116.215200
10.000000,115.293357
10.150000,114.205622
10.300000,113.058507
10.450000,111.768335
10.600000,110.349290
10.750000,108.899115
10.900000,107.658719
11.050000,106.302618
11.200000,105.203558
11.350000,103.915353
11.500000,102.586613
11.650000,101.278835
11.800000,99.898505
12.400000,93.495852
12.550000,91.710625
12.700000,89.453505
12.850000,87.492376
13.000000,85.500823
13.150000,83.276765
13.300000,81.430931
13.450000,78.947790
13.600000,76.840478
13.750000,74.557109
13.900000,72.455806
14.050000,69.951617
14.200000,67.855439
14.350000,65.722343
14.500000,63.558674
14.650000,61.395582
14.800000,59.155707
14.950000,57.012023
15.100000,54.681734
15.250000,52.521795
15.400000,50.308096
15.550000,48.180365
15.700000,46.039848
15.850000,43.751176
16.000000,41.839359
16.150000,39.805917
16.300000,37.659033
16.450000,35.740024
16.600000,33.856805
16.750000,31.965911
16.900000,30.044734
17.050000,28.249259
17.200000,26.603148
17.350000,25.092257
17.500000,23.559307
17.650000,21.973868
17.800000,20.693225
17.950000,19.338369
18.100000,18.039988
18.250000,16.873481
18.400000,15.732080
18.550000,14.595146
18.700000,13.599524
18.850000,12.566292
19.000000,11.594546
19.150000,10.466291
19.750000,4.569511
19.900000,4.534972
20.050000,4.501108
20.200000,4.469616
20.350000,4.437501
20.500000,4.400253
20.650000,4.275907
20.800000,4.250548
20.950000,4.228108
21.100000,4.201134
21.250000,4.177361
21.400000,4.145778
21.550000,4.061895
21.700000,4.048257
21.850000,4.027746
22.000000,4.014629
22.150000,4.000615
22.300000,3.982569
22.450000,3.968997
22.600000,3.956064
22.750000,3.945534
22.900000,3.931268
23.050000,3.917003
