alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.220600,0.006030,-0.080700,-36.583748,7000000.000000,5.000000,-0.226579,0.006030,0.006030,-37.575357,0.300000
-4.850000,-0.203100,0.005970,-0.080800,-34.020101,7000000.000000,5.000000,-0.208605,0.005970,0.005970,-34.942222,0.300000
-4.700000,-0.185500,0.005910,-0.080900,-31.387479,7000000.000000,5.000000,-0.190528,0.005910,0.005910,-32.238242,0.300000
-4.550000,-0.168100,0.005870,-0.081000,-28.637138,7000000.000000,5.000000,-0.172656,0.005870,0.005870,-29.413353,0.300000
-4.400000,-0.150500,0.005810,-0.081100,-25.903614,7000000.000000,5.000000,-0.154579,0.005810,0.005810,-26.605737,0.300000
-4.250000,-0.132900,0.005760,-0.081200,-23.072917,7000000.000000,5.000000,-0.136502,0.005760,0.005760,-23.698312,0.300000
-4.100000,-0.115300,0.005720,-0.081400,-20.157343,7000000.000000,5.000000,-0.118425,0.005720,0.005720,-20.703711,0.300000
-3.950000,-0.097700,0.005680,-0.081500,-17.200704,7000000.000000,5.000000,-0.100348,0.005680,0.005680,-17.666932,0.300000
-3.800000,-0.080200,0.005640,-0.081600,-14.219858,7000000.000000,5.000000,-0.082374,0.005640,0.005640,-14.605290,0.300000
-3.650000,-0.062600,0.005600,-0.081700,-11.178571,7000000.000000,5.000000,-0.064297,0.005600,0.005600,-11.481569,0.300000
-3.500000,-0.045000,0.005540,-0.081900,-8.122744,7000000.000000,5.000000,-0.046220,0.005540,0.005540,-8.342912,0.300000
-3.350000,-0.027400,0.005500,-0.082000,-4.981818,7000000.000000,5.000000,-0.028143,0.005500,0.005500,-5.116851,0.300000
-3.200000,-0.009900,0.005460,-0.082100,-1.813187,7000000.000000,5.000000,-0.010168,0.005460,0.005460,-1.862334,0.300000
-3.050000,0.007700,0.005420,-0.082300,1.420664,7000000.000000,5.000000,0.007909,0.005420,0.005420,1.459172,0.300000
-2.900000,0.025300,0.005380,-0.082400,4.702602,7000000.000000,5.000000,0.025986,0.005380,0.005380,4.830067,0.300000
-2.750000,0.042900,0.005350,-0.082600,8.018692,7000000.000000,5.000000,0.044063,0.005350,0.005350,8.236040,0.300000
-2.600000,0.060500,0.005320,-0.082700,11.372180,7000000.000000,5.000000,0.062140,0.005320,0.005320,11.680425,0.300000
-2.450000,0.078000,0.005300,-0.082900,14.716981,7000000.000000,5.000000,0.080114,0.005300,0.005300,15.115888,0.300000
-2.300000,0.095600,0.005270,-0.083000,18.140417,7000000.000000,5.000000,0.098191,0.005270,0.005270,18.632117,0.300000
-2.150000,0.113200,0.005230,-0.083200,21.644359,7000000.000000,5.000000,0.116268,0.005230,0.005230,22.231034,0.300000
-2.000000,0.130800,0.005190,-0.083300,25.202312,7000000.000000,5.000000,0.134345,0.005190,0.005190,25.885425,0.300000
-1.850000,0.148400,0.005170,-0.083500,28.704062,7000000.000000,5.000000,0.152422,0.005170,0.005170,29.482091,0.300000
-1.700000,0.165900,0.005160,-0.083600,32.151163,7000000.000000,5.000000,0.170397,0.005160,0.005160,33.022626,0.300000
-1.550000,0.183500,0.005140,-0.083800,35.700389,7000000.000000,5.000000,0.188474,0.005140,0.005140,36.668055,0.300000
-1.400000,0.200900,0.005130,-0.083900,39.161793,7000000.000000,5.000000,0.206345,0.005130,0.005130,40.223281,0.300000
-1.250000,0.218300,0.005120,-0.084000,42.636719,7000000.000000,5.000000,0.224217,0.005120,0.005120,43.792395,0.300000
-1.100000,0.235700,0.005110,-0.084200,46.125245,7000000.000000,5.000000,0.242089,0.005110,0.005110,47.375478,0.300000
-0.950000,0.253000,0.005120,-0.084300,49.414062,7000000.000000,5.000000,0.259858,0.005120,0.005120,50.753440,0.300000
-0.800000,0.270500,0.005090,-0.084400,53.143418,7000000.000000,5.000000,0.277832,0.005090,0.005090,54.583880,0.300000
-0.650000,0.287800,0.005040,-0.084600,57.103175,7000000.000000,5.000000,0.295601,0.005040,0.005040,58.650967,0.300000
-0.500000,0.305400,0.004970,-0.084800,61.448692,7000000.000000,5.000000,0.313678,0.004970,0.004970,63.114270,0.300000
-0.200000,0.340200,0.004790,-0.085200,71.022965,7000000.000000,5.000000,0.349421,0.004790,0.004790,72.948055,0.300000
-0.050000,0.356500,0.004820,-0.085200,73.962656,7000000.000000,5.000000,0.366163,0.004820,0.004820,75.967427,0.300000
0.100000,0.372200,0.004890,-0.085100,76.114519,7000000.000000,5.000000,0.382289,0.004890,0.004890,78.177617,0.300000
0.250000,0.388000,0.004920,-0.085100,78.861789,7000000.000000,5.000000,0.398517,0.004920,0.004920,80.999352,0.300000
0.400000,0.403900,0.004900,-0.085200,82.428571,7000000.000000,5.000000,0.414848,0.004900,0.004900,84.662813,0.300000
0.550000,0.419900,0.004860,-0.085400,86.399177,7000000.000000,5.000000,0.431281,0.004860,0.004860,88.741042,0.300000
0.700000,0.435700,0.004950,-0.085300,88.020202,7000000.000000,5.000000,0.447510,0.004950,0.004950,90.406006,0.300000
0.850000,0.451000,0.005170,-0.085200,87.234043,7000000.000000,5.000000,0.463224,0.005170,0.005170,89.598537,0.300000
1.000000,0.466200,0.005430,-0.085000,85.856354,7000000.000000,5.000000,0.478836,0.005430,0.005430,88.183506,0.300000
1.150000,0.481900,0.005640,-0.084800,85.443262,7000000.000000,5.000000,0.494962,0.005640,0.005640,87.759218,0.300000
1.300000,0.498300,0.005760,-0.084800,86.510417,7000000.000000,5.000000,0.511807,0.005760,0.005760,88.855297,0.300000
1.450000,0.514400,0.005940,-0.084700,86.599327,7000000.000000,5.000000,0.528343,0.005940,0.005940,88.946617,0.300000
1.750000,0.546600,0.006270,-0.084500,87.177033,7000000.000000,5.000000,0.561416,0.006270,0.006270,89.539983,0.300000
1.900000,0.562900,0.006430,-0.084400,87.542768,7000000.000000,5.000000,0.578158,0.006430,0.006430,89.915631,0.300000
2.050000,0.579900,0.006490,-0.084500,89.352851,7000000.000000,5.000000,0.595618,0.006490,0.006490,91.774776,0.300000
2.200000,0.597000,0.006560,-0.084500,91.006098,7000000.000000,5.000000,0.613182,0.006560,0.006560,93.472834,0.300000
2.350000,0.614100,0.006620,-0.084600,92.764350,7000000.000000,5.000000,0.630745,0.006620,0.006620,95.278745,0.300000
