flight_condition,blade_section,reynolds,ncrit,max_efficiency,alpha_opt_deg
climb,mid_span,4000000.000000,6.000000,106.684322,5.950000
climb,root,2200000.000000,6.000000,93.658310,6.100000
climb,tip,6200000.000000,6.000000,118.440367,7.300000
cruise,mid_span,3200000.000000,7.000000,102.284866,6.250000
cruise,root,1800000.000000,7.000000,89.046243,5.350000
cruise,tip,5000000.000000,7.000000,112.203883,7.300000
descent,mid_span,3600000.000000,6.000000,104.631685,6.250000
descent,root,2000000.000000,6.000000,91.346863,5.950000
descent,tip,5600000.000000,6.000000,115.728745,7.150000
takeoff,mid_span,4500000.000000,5.000000,110.183930,7.150000
takeoff,root,2500000.000000,5.000000,96.663534,6.250000
takeoff,tip,7000000.000000,5.000000,121.060291,7.300000
