condition,section,axial_velocity_m_s,tangential_velocity_m_s,inflow_angle_phi_deg,alpha_aero_deg,beta_mech_deg,delta_alpha_aero_deg,delta_beta_mech_deg
climb,mid_span,221.0000,314.1593,35.1250,5.9500,41.0750,-0.3000,-7.7864
climb,root,221.0000,157.0796,54.5960,6.1000,60.6960,0.7500,-6.1287
climb,tip,221.0000,471.2389,25.1255,7.3000,32.4255,0.0000,-6.3944
cruise,mid_span,289.0000,314.1593,42.6114,6.2500,48.8614,0.0000,0.0000
cruise,root,289.0000,157.0796,61.4747,5.3500,66.8247,0.0000,0.0000
cruise,tip,289.0000,471.2389,31.5198,7.3000,38.8198,0.0000,0.0000
descent,mid_span,255.0000,314.1593,39.0659,6.2500,45.3159,0.0000,-3.5455
descent,root,255.0000,157.0796,58.3670,5.9500,64.3170,0.6000,-2.5077
descent,tip,255.0000,471.2389,28.4190,7.1500,35.5690,-0.1500,-3.2508
takeoff,mid_span,85.0000,314.1593,15.1397,7.1500,22.2897,0.9000,-26.5718
takeoff,root,85.0000,157.0796,28.4190,6.2500,34.6690,0.9000,-32.1557
takeoff,tip,85.0000,471.2389,10.2248,7.3000,17.5248,0.0000,-21.2950
