flight_condition,blade_section,reynolds,ncrit,max_efficiency,alpha_opt_deg,cl_max,cl_at_opt,cd_at_opt
climb,mid_span,4000000.000000,6.000000,106.684322,5.950000,1.636400,1.007100,0.009440
climb,root,2200000.000000,6.000000,93.658310,6.100000,1.545600,1.008700,0.010770
climb,tip,6200000.000000,6.000000,118.440367,7.300000,1.690700,1.161900,0.009810
cruise,mid_span,3200000.000000,7.000000,102.284866,6.250000,1.594900,1.034100,0.010110
cruise,root,1800000.000000,7.000000,89.046243,5.350000,1.488900,0.924300,0.010380
cruise,tip,5000000.000000,7.000000,112.203883,7.300000,1.666500,1.155700,0.010300
descent,mid_span,3600000.000000,6.000000,104.631685,6.250000,1.620400,1.036900,0.009910
descent,root,2000000.000000,6.000000,91.346863,5.950000,1.525600,0.990200,0.010840
descent,tip,5600000.000000,6.000000,115.728745,7.150000,1.680100,1.143400,0.009880
takeoff,mid_span,4500000.000000,5.000000,110.183930,7.150000,1.651900,1.138200,0.010330
takeoff,root,2500000.000000,5.000000,96.663534,6.250000,1.567600,1.028500,0.010640
takeoff,tip,7000000.000000,5.000000,121.060291,7.300000,1.706400,1.164600,0.009620
